,FONAG_PROM,FONAG_PROM_DIS_0.0346,FONAG_PROM_INF_0.01,FONAG_PROM_INF_0.01_DIS_0.0346,Incomes_linear,Incomes_linear_DIS_0.0346,Incomes_linear_GRW_stepexp,Incomes_linear_GRW_stepexp_DIS_0.0346,Costs_linear,Costs_linear_DIS_0.0346,Costs_linear_INF_0.01,Costs_linear_INF_0.01_DIS_0.0346,Utility_I_linear_C_linear,Utility_I_linear_C_linear_INF_0.01,Utility_I_linear_GRW_stepexp_C_linear,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01,Utility_I_linear_C_linear_DIS_0.0346,Utility_I_linear_C_linear_INF_0.01_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_DIS_0.0346,Utility_I_linear_GRW_stepexp_C_linear_INF_0.01_DIS_0.0346
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1609709.55,1609709.55,1609709.55,1609709.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1956869.69,1956869.69,1956869.69,1956869.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2566958.09,2566958.09,2566958.09,2566958.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,2531206.22,2531206.22,2531206.22,2531206.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,2386176.22,2386176.22,2386176.22,2386176.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,928263.76,897219.9497390296,937546.3976,906192.1492364199,-14995.310033363114,-14493.823732228024,-14995.310033363114,-14493.823732228024,-4691.935695953232,-4535.023870049519,-4738.855052912765,-4580.374108750015,-10303.374337409881,-10256.454980450348,-10303.374337409881,-10256.454980450348,-9958.799862178505,-9913.449623478009,-9958.799862178505,-9913.449623478009
2022,928263.76,867214.3337898991,946921.861576,884645.3418990761,-31344.07217728458,-29282.656334107407,-31344.07217728458,-29282.656334107407,-10954.093120044921,-10233.67169625611,-11174.270391757824,-10439.368497350857,-20389.97905723966,-20169.801785526754,-20389.97905723966,-20169.801785526754,-19048.984637851296,-18843.28783675655,-19048.984637851296,-18843.28783675655
2023,928263.76,838212.1919484817,956391.0801917601,863610.8595767127,-27064.95793555591,-24439.36593641852,-27064.95793555591,-24439.36593641852,-8308.49320245533,-7502.480005272579,-8560.24885498293,-7729.812651912343,-18756.46473310058,-18504.709080572982,-18756.46473310058,-18504.709080572982,-16936.88593114594,-16709.553284506175,-16936.88593114594,-16709.553284506175
2024,928263.76,810179.9651541483,965954.9909936776,843076.5205610669,-46267.084761767255,-40381.48071198278,-46267.084761767255,-40381.48071198278,-14721.957950945385,-12849.187799486826,-15319.728478805151,-13370.916349389068,-31545.126810821872,-30947.356282962104,-31545.126810821872,-30947.356282962104,-27532.292912495956,-27010.564362593715,-27532.292912495956,-27010.564362593715
2025,928263.76,783085.2166577888,975614.5409036145,823030.4327920721,-116742.86947215153,-98484.52473664569,-116742.86947215153,-98484.52473664569,-38576.446936526525,-32543.169957618044,-40544.23342743874,-34203.19868756896,-78166.42253562501,-76198.6360447128,-78166.42253562501,-76198.6360447128,-65941.35477902765,-64281.32604907673,-65941.35477902765,-64281.32604907673
2026,928263.76,756896.5944884871,985370.6863126507,803460.9869708029,-54911.6909416135,-44774.42044199976,-57657.27548869418,-47013.141464099754,-18701.95441647775,-15249.378698260212,-19852.5014687125,-16187.522772348862,-36209.736525135755,-35059.189472901,-38955.32107221642,-37804.774019981676,-29525.04174373955,-28586.897669650898,-31763.762765839543,-30825.61869175089
2027,928263.76,731583.7951754177,995224.393175777,784356.8498361792,-101923.56210512982,-80328.05932515157,-107019.74021038631,-84344.46229140915,-36787.367698562884,-28992.882449087752,-39441.037420588764,-31084.29423314985,-65136.19440656694,-62482.52468454106,-70232.37251182343,-67578.70278979755,-51335.176876063815,-49243.76509200172,-55351.57984232139,-53260.168058259296
2028,928263.76,707117.5286829863,1005176.6371075349,765706.9576015281,-49225.540239292495,-37498.22395532646,-51686.817251257125,-39373.135153092786,-16858.53305793389,-12842.216562614318,-18255.375568836378,-13906.280319954907,-32367.007181358604,-30970.164670456117,-34828.284193323234,-33431.441682420744,-24656.00739271214,-23591.94363537155,-26530.918590478468,-25466.854833137877
